current_A,voltage_V,sigma_voltage_V
1.000000000000000062e-09,1.897064726724704553e-01,1.500000000000000031e-03
1.185080297211957862e-09,1.982169122272349759e-01,1.500000000000000031e-03
1.404415310839982463e-09,2.019813843306283996e-01,1.500000000000000031e-03
1.664344913979270641e-09,2.138977425404930133e-01,1.500000000000000031e-03
1.972382365321764837e-09,2.197468359073945221e-01,1.500000000000000031e-03
2.337431479711141332e-09,2.253426319534500843e-01,1.500000000000000031e-03
2.770043992688677242e-09,2.323091601401515438e-01,1.500000000000000031e-03
3.282724558145696460e-09,2.402335035033690558e-01,1.500000000000000031e-03
3.890292195032294962e-09,2.463805466486413687e-01,1.500000000000000031e-03
4.610308630730232432e-09,2.534505184673758738e-01,1.500000000000000031e-03
5.463585922344638661e-09,2.618794108420877675e-01,1.500000000000000031e-03
6.474788028695253118e-09,2.685834753277784870e-01,1.500000000000000031e-03
7.673143721430598387e-09,2.747291757773029364e-01,1.500000000000000031e-03
9.093291441943042649e-09,2.817126581887672843e-01,1.500000000000000031e-03
1.077628052465281296e-08,2.890990660945796931e-01,1.500000000000000031e-03
1.277075772699501566e-08,2.949545915580175093e-01,1.500000000000000031e-03
1.513437336272916228e-08,3.022888578657761394e-01,1.500000000000000031e-03
1.793544768281981294e-08,3.107365287741191140e-01,1.500000000000000031e-03
2.125494567058567080e-08,3.167387380132912766e-01,1.500000000000000031e-03
2.518881733252168551e-08,3.218937116832496503e-01,1.500000000000000031e-03
2.985077113084251299e-08,3.302607995280852915e-01,1.500000000000000031e-03
3.537556072374498299e-08,3.389834212466919516e-01,1.500000000000000031e-03
4.192288001653536598e-08,3.446721788061943292e-01,1.500000000000000031e-03
4.968197910997698212e-08,3.518199089873108587e-01,1.500000000000000031e-03
5.887713456972980686e-08,3.600284161170953512e-01,1.500000000000000031e-03
6.977413213488399055e-08,3.688254411114654241e-01,1.500000000000000031e-03
8.268794924811473647e-08,3.720417885134050806e-01,1.500000000000000031e-03
9.799185947080310664e-08,3.821570841157997944e-01,1.500000000000000031e-03
1.161282219460117518e-07,3.853130932546280363e-01,1.500000000000000031e-03
1.376212677784761132e-07,3.944440370946543095e-01,1.500000000000000031e-03
1.630922529216029252e-07,3.994508413774331412e-01,1.500000000000000031e-03
1.932774155653009886e-07,4.102559847997908626e-01,1.500000000000000031e-03
2.290492570824860083e-07,4.165034336707797991e-01,1.500000000000000031e-03
2.714417616594906772e-07,4.239829613025554722e-01,1.500000000000000031e-03
3.216802835831666465e-07,4.279720066167917447e-01,1.500000000000000031e-03
3.812169660759660182e-07,4.373511427657881812e-01,1.500000000000000031e-03
4.517727154595476439e-07,4.425698805682068415e-01,1.500000000000000031e-03
5.353869439090540298e-07,4.496865046875133665e-01,1.500000000000000031e-03
6.344765186111435585e-07,4.581566700720746677e-01,1.500000000000000031e-03
7.519056212497038419e-07,4.657363340513729355e-01,1.500000000000000031e-03
8.910685371059408836e-07,4.717524040250730133e-01,1.500000000000000031e-03
1.055987766789733091e-06,4.775284521586338760e-01,1.500000000000000031e-03
1.251430296519368619e-06,4.842565310754166075e-01,1.500000000000000031e-03
1.483045387739221989e-06,4.946867448586099725e-01,1.500000000000000031e-03
1.757527868880820441e-06,5.004364240477165993e-01,1.500000000000000031e-03
